Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,154.499999,-134.700001,-90.0,top
C10,0.1uF,C_0402_1005Metric,125.35,-114.46,-55.0,top
C11,0.1uF,C_0402_1005Metric,128.18,-117.82,-45.0,top
C12,0.1uF,C_0402_1005Metric,131.55,-120.64,-35.0,top
C13,0.1uF,C_0402_1005Metric,135.35,-122.84,-25.0,top
C14,0.1uF,C_0402_1005Metric,139.48,-124.35,-15.0,top
C15,0.1uF,C_0402_1005Metric,154.62,-123.69,20.0,top
C16,0.1uF,C_0402_1005Metric,171.11,-102.2,85.0,top
C17,0.1uF,C_0402_1005Metric,171.11,-97.8,95.0,top
C18,0.1uF,C_0402_1005Metric,165.31,-83.8,130.0,top
C19,0.1uF,C_0402_1005Metric,167.82,-87.4,120.0,top
C2,0.1uF,C_0603_1608Metric,148.75,-97.25,-45.0,top
C20,0.1uF,C_0402_1005Metric,122.32,-91.38,-110.0,top
C21,0.1uF,C_0402_1005Metric,120.9,-97.81,-95.0,top
C22,0.1uF,C_0402_1005Metric,148.2,-125.12,5.0,top
C23,0.1uF,C_0402_1005Metric,150.38,-124.83,10.0,top
C24,0.1uF,C_0402_1005Metric,143.8,-125.12,-5.0,top
C25,0.1uF,C_0402_1005Metric,160.47,-120.66,35.0,top
C26,0.1uF,C_0402_1005Metric,168.84,-110.65,65.0,top
C27,0.1uF,C_0402_1005Metric,170.35,-93.48,105.0,top
C28,0.1uF,C_0402_1005Metric,166.65,-85.54,125.0,top
C29,0.1uF,C_0402_1005Metric,163.82,-82.18,135.0,top
C3,0.1uF,C_0603_1608Metric,135.6125,-134.3,180.0,top
C30,0.1uF,C_0402_1005Metric,160.45,-79.35,145.0,top
C31,0.1uF,C_0402_1005Metric,156.65,-77.16,155.0,top
C32,0.1uF,C_0402_1005Metric,123.16,-89.35,-115.0,top
C33,10uF,C_0805_2012Metric,124.175,-72.75,90.0,top
C34,0.1uF,C_0402_1005Metric,158.61,-121.84,30.0,top
C35,0.1uF,C_0402_1005Metric,171.21,-100.0,90.0,top
C36,0.1uF,C_0402_1005Metric,143.8,-74.89,-175.0,top
C37,0.1uF,C_0402_1005Metric,162.2,-80.69,140.0,top
C38,0.1uF,C_0402_1005Metric,169.68,-91.38,110.0,top
C39,0.1uF,C_0402_1005Metric,124.18,-87.4,-120.0,top
C4,10uF,C_0805_2012Metric,163.899999,-134.699999,90.0,top
C40,0.1uF,C_0402_1005Metric,120.89,-102.2,-85.0,top
C41,0.1uF,C_0402_1005Metric,137.38,-123.68,-20.0,top
C42,0.1uF,C_0402_1005Metric,141.62,-124.82,-10.0,top
C43,0.1uF,C_0603_1608Metric,122.175,-72.75,90.0,top
C44,10uF,C_0805_2012Metric,113.175,-77.25,-90.0,top
C45,0.1uF,C_0603_1608Metric,115.175,-77.25,-90.0,top
C46,0.1uF,C_0402_1005Metric,152.53,-124.35,15.0,top
C47,0.1uF,C_0402_1005Metric,163.82,-117.82,45.0,top
C48,0.1uF,C_0402_1005Metric,170.34,-106.52,75.0,top
C49,0.1uF,C_0402_1005Metric,170.83,-95.62,100.0,top
C5,0.1uF,C_0603_1608Metric,146.0,-60.7,180.0,top
C50,0.1uF,C_0402_1005Metric,152.526355,-75.645768,165.0,top
C51,0.1uF,C_0402_1005Metric,150.38,-75.17,170.0,top
C52,0.1uF,C_0402_1005Metric,139.476356,-75.644234,-165.0,top
C53,0.1uF,C_0402_1005Metric,141.62,-75.18,-170.0,top
C54,0.1uF,C_0402_1005Metric,121.65,-93.48,-105.0,top
C55,0.1uF,C_0603_1608Metric,117.175,-65.75,-90.0,top
C56,0.1uF,C_0603_1608Metric,117.675,-68.75,180.0,top
C57,0.1uF,C_0402_1005Metric,162.202299,-119.308538,40.0,top
C58,0.1uF,C_0402_1005Metric,169.68,-108.62,70.0,top
C59,0.1uF,C_0402_1005Metric,148.2,-74.88,175.0,top
C6,0.1uF,C_0402_1005Metric,146.0,-125.21,0.0,top
C60,0.1uF,C_0402_1005Metric,158.6,-78.17,150.0,top
C61,0.1uF,C_0402_1005Metric,137.37,-76.31,-160.0,top
C62,0.1uF,C_0402_1005Metric,126.7,-83.8,-130.0,top
C63,0.1uF,C_0402_1005Metric,120.8,-100.0,-90.0,top
C64,0.1uF,C_0402_1005Metric,129.8,-119.31,-40.0,top
C65,0.1uF,C_0402_1005Metric,133.4,-121.82,-30.0,top
C66,0.1uF,C_0402_1005Metric,156.66,-122.86,25.0,top
C67,0.1uF,C_0402_1005Metric,166.65,-114.46,55.0,top
C68,0.1uF,C_0402_1005Metric,170.82,-104.38,80.0,top
C69,0.1uF,C_0402_1005Metric,168.85,-89.35,115.0,top
C7,0.1uF,C_0402_1005Metric,121.173351,-104.372708,-80.0,top
C70,0.1uF,C_0402_1005Metric,135.35,-77.16,-155.0,top
C71,0.1uF,C_0402_1005Metric,131.54,-79.36,-145.0,top
C72,0.1uF,C_0402_1005Metric,128.18,-82.19,-135.0,top
C73,0.1uF,C_0402_1005Metric,125.36,-85.55,-125.0,top
C74,0.1uF,C_0402_1005Metric,121.17,-95.62,-100.0,top
C75,10uF,C_0805_2012Metric,109.5,-116.75,180.0,top
C76,1uF,C_0603_1608Metric,126.25,-133.25,90.0,top
C77,0.1uF,C_0402_1005Metric,165.3,-116.2,50.0,top
C78,0.1uF,C_0402_1005Metric,167.83,-112.6,60.0,top
C79,0.1uF,C_0402_1005Metric,146.0,-74.79,180.0,top
C8,0.1uF,C_0402_1005Metric,121.64,-106.53,-75.0,top
C80,0.1uF,C_0402_1005Metric,154.62,-76.31,160.0,top
C81,0.1uF,C_0402_1005Metric,133.394308,-78.18,-150.0,top
C82,0.1uF,C_0402_1005Metric,129.81,-80.71,-140.0,top
C83,0.1uF,C_0402_1005Metric,122.31,-108.62,-70.0,top
C84,0.1uF,C_0402_1005Metric,124.17,-112.61,-60.0,top
C85,0.1uF,C_0402_1005Metric,126.7,-116.2,-50.0,top
C86,22uF,C_0805_2012Metric,170.15,-122.3,-90.0,top
C87,0.1uF,C_0603_1608Metric,172.15,-122.3,-90.0,top
C88,0.1uF,C_0603_1608Metric,178.85,-117.3,0.0,top
C89,0.1uF,C_0603_1608Metric,173.6,-125.8,0.0,top
C9,0.1uF,C_0402_1005Metric,123.16,-110.65,-65.0,top
C90,10uF,C_0805_2012Metric,128.25,-136.75,-90.0,top
C91,0.1uF,C_0603_1608Metric,175.0,-117.3,180.0,top
C92,0.1uF,C_0603_1608Metric,126.25,-136.75,-90.0,top
C93,10uF,C_0603_1608Metric,160.237501,-62.25,0.0,top
C94,10uF,C_0603_1608Metric,160.2375,-67.35,180.0,top
C95,0.1uF,C_0603_1608Metric,160.2375,-68.899995,180.0,top
D1,SK6805,LED_SK6812_EC15_1.5x1.5mm,146.0,-126.75,90.0,top
D10,SK6805,LED_SK6812_EC15_1.5x1.5mm,143.650001,-126.650882,85.0,top
D11,SK6805,LED_SK6812_EC15_1.5x1.5mm,127.09,-118.91,45.0,top
D12,SK6805,LED_SK6812_EC15_1.5x1.5mm,119.36,-102.33,5.0,top
D13,SK6805,LED_SK6812_EC15_1.5x1.5mm,124.093271,-84.660509,-35.0,top
D14,SK6805,LED_SK6812_EC15_1.5x1.5mm,139.078194,-74.158863,-75.0,top
D15,SK6805,LED_SK6812_EC15_1.5x1.5mm,157.31,-75.76,-115.0,top
D16,SK6805,LED_SK6812_EC15_1.5x1.5mm,170.243264,-88.691864,-155.0,top
D17,SK6805,LED_SK6812_EC15_1.5x1.5mm,171.84,-106.92,165.0,top
D18,SK6805,LED_SK6812_EC15_1.5x1.5mm,161.34,-121.91,125.0,top
D19,SK6805,LED_SK6812_EC15_1.5x1.5mm,141.35,-126.34,80.0,top
D2,SK6805,LED_SK6812_EC15_1.5x1.5mm,128.81,-120.49,50.0,top
D20,SK6805,LED_SK6812_EC15_1.5x1.5mm,125.505467,-117.196025,40.0,top
D21,SK6805,LED_SK6812_EC15_1.5x1.5mm,119.25,-100.0,0.0,top
D22,SK6805,LED_SK6812_EC15_1.5x1.5mm,125.51,-82.8,-40.0,top
D23,SK6805,LED_SK6812_EC15_1.5x1.5mm,141.355018,-73.658693,-80.0,top
D24,SK6805,LED_SK6812_EC15_1.5x1.5mm,159.37,-76.84,-120.0,top
D25,SK6805,LED_SK6812_EC15_1.5x1.5mm,171.129878,-90.852058,-160.0,top
D26,SK6805,LED_SK6812_EC15_1.5x1.5mm,171.13,-109.15,160.0,top
D27,SK6805,LED_SK6812_EC15_1.5x1.5mm,159.37415,-123.160848,120.0,top
D28,SK6805,LED_SK6812_EC15_1.5x1.5mm,139.08,-125.84,75.0,top
D29,SK6805,LED_SK6812_EC15_1.5x1.5mm,124.09,-115.34,35.0,top
D3,SK6805,LED_SK6812_EC15_1.5x1.5mm,119.657113,-104.641014,10.0,top
D30,SK6805,LED_SK6812_EC15_1.5x1.5mm,119.352492,-97.669068,-5.0,top
D31,SK6805,LED_SK6812_EC15_1.5x1.5mm,127.09,-81.08,-45.0,top
D32,SK6805,LED_SK6812_EC15_1.5x1.5mm,143.669064,-73.35249,-85.0,top
D33,SK6805,LED_SK6812_EC15_1.5x1.5mm,161.34,-78.09,-125.0,top
D34,SK6805,LED_SK6812_EC15_1.5x1.5mm,171.832386,-93.074811,-165.0,top
